POONA AUTO MOBILE BHAU PATIL ROAD PUNE 
NAVGITANJALI SOC 41 AUNDH RAOD PUNE 411020
DESHPANDE HEIGHTS 1ST FLR K-ROCK BHALRAO DAPODI PUNE 
OMKAR COLONY PIMPLE GURAV Pin:411061

* These are some of the addresses out of 6000+ addresses that I had to cluster
